Posting ID	Sponsor	Study Title	Medicine or Vaccine (generic name)	Sponsor Identification Number	Medical Condition	Phase	Link to Sponsor Study Registry	Link to study details on ClinicalTrials.gov (if available)	Link to study details on EudraCT (if available)	Analysis-ready dataset	Annotated case report form	Clinical study report	Dataset specifications	Protocol with any amendments	Raw dataset	Reporting and analysis plan	Additional Information about the data and documents available for this study	Date Added to this Site
21	GSK	A randomised, double-blind, placebo-controlled, dose ascending, 2-cohort, parallel group study to examine the safety, tolerability, pharmacokinetics and pharmacodynamics of twice-daily inhaled doses of GSK233705B formulated with the excipient Magnesium Stearate in COPD subjects for 7-days.	darotropium bromide	AC2108378	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=AC2108378	http://clinicaltrials.gov/show/NCT00453479	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-006083-33	Y	Y	Y	Y	Y	Y	Y		1-May-2013
22	GSK	Dose-Ranging Study for GSK233705B Delivered Once Daily in Subjects with COPD	darotropium bromide	AC2110664	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=AC2110664	http://clinicaltrials.gov/show/NCT00676052	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-006287-29	Y	Y	Y	Y	Y	Y	Y		1-May-2013
23	GSK	A multicenter, randomized, double-blind, placebo-controlled, parallel-group, 4-week study to evaluate the safety, tolerability, pharmacodynamics and pharmacokinetics of repeat inhaled doses of the combination of GSK233705 and GW642444 administered once-daily in subjects with COPD	vilanterol/darotropium bromide	DB1111581	Pulmonary Disease, Chronic Obstructive	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=DB1111581	http://clinicaltrials.gov/show/NCT00749411	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-004266-78	Y	Y	Y	Y	Y	Y	Y		1-May-2013
32	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multi-Center Study to Evaluate the Effects of a One-Year Course of Fluticasone Furoate Nasal Spray 110mcg QD on Growth in Pre-Pubescent, Pediatric Subjects with Perennial Allergic Rhinitis	fluticasone furoate	FFR101782	Rhinitis, Allergic, Perennial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=FFR101782	http://clinicaltrials.gov/show/NCT00570492	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-005148-26	Y	Y	Y	Y	Y	Y	Y		1-Jul-2015
33	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multicenter, Two-Year Study to Evaluate the Ocular Safety of Once-Daily, Fluticasone Furoate Nasal Spray 110mcg in Adults and Adolescents 12 Years of Age and Older with Perennial Allergic Rhinitis	fluticasone furoate	FFR110537	Rhinitis, Allergic, Perennial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=FFR110537	http://clinicaltrials.gov/show/NCT00682643		Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Sep-2013
34	GSK	A Pilot, Randomised, Double-blind, Placebo-controlled, Parallel-group, Multicentre Study to Evaluate the Efficacy and Safety of Once-daily Intranasal Administration of Fluticasone Furoate Nasal Spray 110 mcg for 4 Weeks in Adults and Adolescents with Irritant (Non-Allergic) Rhinitis	fluticasone furoate	FFR111158	Rhinitis, Allergic, Perennial	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=FFR111158	http://clinicaltrials.gov/show/NCT00730756		Y	Y	Y	Y	Y	Y	Y		1-May-2013
35	GSK	A Randomized, Double-blind, Placebo-controlled, Active Comparator, One-Week, Cross-Over, Multicenter Study to Evaluate the Efficacy and Patient Preference of Nasal Spray Characteristics of Once-Daily, Intranasal Administration of 110mcg Fluticasone Furoate Nasal Spray and 200mcg Fluticasone Propionate Nasal Spray in Adult Subjects with Seasonal Allergic Rhinitis	fluticasone furoate	FFU105924	Rhinitis, Allergic, Perennial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=FFU105924	http://clinicaltrials.gov/show/NCT00539006		Y	Y	Y	Y	Y	Y	Y		1-May-2013
36	GSK	A Randomized, Double-blind, Placebo-controlled, Active Comparator, One-Week, Cross-Over, Multicenter Study to Evaluate the Efficacy and Patient Preference of Nasal Spray Characteristics of Once-Daily, Intranasal Administration of 110mcg Fluticasone Furoate Nasal Spray and 200mcg Fluticasone Propionate Nasal Spray in Adult Subjects with Seasonal Allergic Rhinitis	fluticasone furoate	FFU105927	Rhinitis, Allergic, Perennial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=FFU105927	http://clinicaltrials.gov/show/NCT00519636		Y	Y	Y	Y	Y	Y	Y		1-May-2013
37	GSK	A Comparison of Fluticasone Furoate Nasal Spray versus Oral Fexofenadine in the treatment of seasonal allergic rhinitis	fluticasone furoate	FFU109047	Rhinitis, Allergic, Seasonal	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=FFU109047	http://clinicaltrials.gov/show/NCT00502775		Y	Y	Y	Y	Y	Y	Y		1-May-2013
38	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Evaluate the Efficacy and Safety of Once-Daily Intranasal Administration of Fluticasone Furoate Nasal Spray 110mcg in Adult and Adolescent Subjects 12 years of Age and Older with Perennial Allergic Rhinitis (PAR)	fluticasone furoate	FFU111439	Rhinitis, Allergic, Perennial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=FFU111439	http://clinicaltrials.gov/show/NCT00609674	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-006562-15	Y	Y	Y	Y	Y	Y	Y		1-May-2013
39	GSK	A randomised, double-blind, placebo-controlled, 4-period, incomplete block, crossover study to assess the dose-response curve of intranasal fluticasone propionate (25, 50, 100 and 200 g, once daily for 8 days) in the Vienna Challenge Chamber for the purpose of investigating the sensitivity of the model when evaluating glucocorticosteroids	fluticasone propionate	NSG110341	Rhinitis, Allergic, Perennial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=110341	http://clinicaltrials.gov/show/NCT00848965		Y	Y	Y	Y	Y	Y	Y		1-May-2013
40	GSK	A 52-week, Randomized, Double-Blind, Parallel-Group Study of Fluticasone Propionate/Salmeterol DISKUS Combination Product (FSC) 250/50 mcg BID and Fluticasone Propionate (FP) DISKUS 250 mcg BID in Treatment of Subjects with Asthma	fluticasone propionate/salmeterol	ADA109055	Asthma	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=ADA109055	http://clinicaltrials.gov/show/NCT00452699		Y	Y	Y	Y	Y	Y	Y		1-May-2013
41	GSK	A 52-week, Randomized, Double-Blind, Parallel-Group Study of Fluticasone Propionate/Salmeterol DISKUS Combination Product (FSC) 250/50 mcg BID and Fluticasone Propionate (FP) DISKUS 250 mcg BID in Treatment of Subjects with Asthma	fluticasone propionate/salmeterol	ADA109057	Asthma	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=ADA109057	http://clinicaltrials.gov/show/NCT00452348		Y	Y	Y	Y	Y	Y	Y		1-May-2013
42	GSK	A Randomized, Double-Blind, Parallel Group study of ADVAIR™ DISKUS™ 100/50 and FLOVENT™DISKUS™ 100, both twice daily, in a Pediatric Population during the Fall Viral Season.	fluticasone propionate/salmeterol	ADA113872	Asthma	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=113872	http://clinicaltrials.gov/show/NCT01192178		Y	Y	Y	Y	Y	Y	Y		1-Nov-2015
43	GSK	A Randomized, Double-Blind, Parallel-Group, 24-Week Study to Evaluate the Efficacy and Safety of ADVAIR DISKUS (Fluticasone Propionate/Salmeterol Combination Product 250/50mcg Inhalation Powder) BID Plus Spiriva HandiHaler (Tiotropium Bromide Inhalation Powder 18mcg) QD Versus Spiriva QD Plus Placebo DISKUS BID in Subjects with Chronic Obstructive Pulmonary Disease (COPD)	fluticasone propionate/salmeterol	ADC111114	Pulmonary Disease, Chronic Obstructive	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=111114	http://clinicaltrials.gov/show/NCT00784550		Y	Y	Y	Y	Y	Y	Y		1-May-2013
44	GSK	A Randomized, Double-Blind, Double-Dummy, Parallel Group 12-Week Comparison of the Efficacy and Safety of Fluticasone Propionate/Salmeterol Hydrofluoroalkane 134a Metered-Dose-Inhaler 230/42mcg twice-daily with Fluticasone Propionate/Salmeterol DISKUS 250/50mcg twice-daily in subjects with COPD	fluticasone propionate/salmeterol	ADC111117	Pulmonary Disease, Chronic Obstructive	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=111117	http://clinicaltrials.gov/show/NCT00633217		Y	Y	Y	Y	Y	Y	Y		1-May-2013
45	GSK	A Randomized, Double-Blind, Parallel-Group, 16-Week Study to Evaluate the Effect of Fluticasone Propionate/Salmeterol DISKUS® 250/50mcg BID and Placebo on Arterial Stiffness in Subjects with Chronic Obstructive Pulmonary Disease (COPD)	fluticasone propionate/salmeterol	ADC112355	Pulmonary Disease, Chronic Obstructive	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=112355	http://clinicaltrials.gov/show/NCT00857766		Y	Y	Y	Y	Y	Y	Y		1-May-2013
46	GSK	A study of fluticasone propionate/salmeterol DISKUS combination product 250/50 mcg twice daily plus tiotropium 18 mcg daily versus placebo DISKUS twice daily plus tiotropium 18 mcg daily on exercise time and physiological parameters in subjects with Chronic Obstructive Pulmonary Disease	fluticasone propionate/salmeterol	ADC113877	Pulmonary Disease, Chronic Obstructive	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=113877	http://clinicaltrials.gov/show/NCT01124422		Y	Y	Y	Y	Y	Y	Y		1-Sep-2013
47	GSK	A randomized, double-blind, parallel group study evaluating the safety of fluticasone propionate/salmeterol 100/50mcg HFA (2 inhalations of 50/25mcg) twice daily compared with fluticasone propionate 100mcg HFA (2 inhalations of 50mcg) twice daily in subjects 4-11 years of age with persistent asthma	fluticasone propionate/salmeterol	SFA106484	Asthma	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=SFA106484	http://clinicaltrials.gov/show/NCT00441441	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-001417-16	Y	Y	Y	Y	Y	Y	Y		1-May-2013
48	GSK	FondaparinUx Trial with Unfractionated Heparin (UFH) during Revascularization in Acute Coronary Syndromes (ACS) (FUTURA). A prospective study evaluating the safety of two regimens of adjunctive intravenous UFH during PCI in high risk patients with Unstable Angina/Non ST segment elevation myocardial infarction (UA/NSTEMI) initially treated with subcutaneous fondaparinux and referred for early coronary angiography (OASIS 8)	fondaparinux sodium	AR1108888	Acute Coronary Syndrome	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=108888	http://clinicaltrials.gov/show/NCT00790907	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-002747-16	Y	Y	Y	Y	Y	Y	Y	The raw data are included within the analysis-ready data for this study and are not provided separately.	1-May-2013
49	GSK	Clinical Evaluation of GSK576428 (Fondaparinux Sodium) in the Treatment of Acute Pulmonary Thromboembolism (PE)	fondaparinux sodium	AR3106206	Embolism, Pulmonary	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=106206	http://clinicaltrials.gov/show/NCT00981409		N	Y	N	Y	N	Y	N	An analysis-ready dataset and reporting and analysis plan are not available for this study. A clinical study report and a protocol are not available for this study because English language versions were not created.	1-Jul-2015
50	GSK	Clinical Evaluation of GSK576428 (Fondaparinux Sodium) in the Treatment of Acute Deep Vein Thrombosis (DVT)	fondaparinux sodium	AR3111436	Thrombosis, Venous	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=111436	http://clinicaltrials.gov/show/NCT00911157		N	Y	N	Y	N	Y	N	An analysis-ready dataset and reporting and analysis plan are not available for this study. A clinical study report and a protocol are not available for this study because English language versions were not created.	1-Jul-2015
51	GSK	An 8 day, randomised, double blind, 3-way crossover trial of repeat doses of intranasal GSK256066 and fluticasone propionate in the Vienna Challenge Chamber in subjects with seasonal allergic rhinitis (SAR)	GSK256066	IPR110723	Rhinitis, Allergic, Seasonal	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=IPR110723	http://clinicaltrials.gov/show/NCT00612820	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-005301-22	Y	Y	Y	Y	Y	Y	Y		1-May-2013
52	GSK	A randomised, placebo-controlled, incomplete block, three-way cross-over study to evaluate the effect of treatment with repeat inhaled doses of GW870086X on the allergen-induced early and late asthmatic response in subjects with mild asthma	GW870086	SIG110762	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=110762	http://clinicaltrials.gov/show/NCT00857857	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-005791-14	Y	Y	Y	Y	Y	Y	Y		1-Mar-2015
53	GSK	An Open-Label Trial Measuring Satisfaction and Convenience of Two Formulations of Lamotrigine in Subjects with a Mood Disorder	lamotrigine	LBI108884	Mood Disorders	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=LBI108884	http://clinicaltrials.gov/show/NCT00579982		Y	Y	Y	Y	Y	Y	Y		1-May-2013
54	GSK	Lamotrigine Extended-Release in Elderly Patients with Epilepsy	lamotrigine	LEP105972	Epilepsy	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=LEP105972	http://clinicaltrials.gov/show/NCT00516139		Y	Y	Y	Y	Y	Y	Y		1-May-2015
55	GSK	Study SCA104779, an evaluation of BW430C (lamotrigine) versus placebo in the prevention of mood episodes in bipolar I disorder patients	lamotrigine	SCA104779	Bipolar Disorder	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=SCA104779	http://clinicaltrials.gov/show/NCT00550407		Y	N	N	Y	N	Y	Y	Extension study SCA106052 was conducted. A clinical study report and a protocol are not available for this study because English language versions were not created. An annotated case report form is not available for this study. A blank case report form will be provided.	1-Jul-2015
56	GSK	Study SCA106052, a clinical evaluation of BW430C (lamotrigine) in bipolar I disorder– Long-term extension study (extension of study SCA104779 (NCT00550407))	lamotrigine	SCA106052	Bipolar Disorder	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=SCA106052	http://clinicaltrials.gov/show/NCT00566020		N	Y	N	Y	N	Y	Y	This is an extension study to SCA104779. An analysis-ready dataset is not available for this study. A clinical study report is not available for this study because an English language version was not created.	1-Jul-2015
74	GSK	A Randomized, Double-Blind, Placebo-Controlled, Forced Titration Study to Assess the Efficacy and Safety of Omacor, Co-Administered with Open-Label Atorvastatin Therapy, in Hypertriglyceridemic Subjects	omega-3-acid ethyl esters	LOV111819	Hypertriglyceridemia	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=OM9L	http://clinicaltrials.gov/show/NCT00435045		Y	Y	Y	Y	Y	Y	Y		1-May-2013
79	GSK	Durable-Response Therapy Evaluation For Early or New-Onset Type 1 Diabetes - DEFEND	otelixizumab	OTX115495	Diabetes Mellitus, Type 1	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=115495	http://clinicaltrials.gov/show/NCT00678886	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-002205-40	Y	Y	Y	Y	Y	Y	Y	A follow-on study OTX115496 was conducted.	1-Jun-2014
80	GSK	A randomised, single-blind, placebo-controlled, study to evaluate the safety, tolerability, pharmacodynamics and pharmacokinetics of single ascending administration of otelixizumab in subjects with Type 1 Diabetes Mellitus	otelixizumab	RAO112438	Diabetes Mellitus, Type 1	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=112438	http://clinicaltrials.gov/show/NCT00946257	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-008207-18	Y	Y	Y	Y	Y	Y	Y		1-Jan-2017
82	GSK	A randomised, double-blind, placebo controlled, parallel group , flexible dose study to evaluate the efficacy and safety of Paxil® Tablets in children and adolescents with Major Depressive Disorder<Post-marketing clinical study>	paroxetine	PIR112487	Depressive Disorder	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=112487	http://clinicaltrials.gov/show/NCT00812812		N	Y	N	Y	N	Y	Y	An analysis-ready dataset is not available for this study. A clinical study report and a protocol are not available for this study because English language versions were not created.	1-Jul-2015
101	GSK	Randomized, double-blind, placebo-controlled study to evaluate the safety, tolerability, pharmacokinetics (PK) and efficacy of Retapamulin ointment, 1% applied twice daily for 3 or 5 days to the anterior nares of healthy adult subjects nasally colonized with Staphylococcus aureus	retapamulin	ALB110247	Infections, Bacterial	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=ALB110247	http://clinicaltrials.gov/show/NCT00539994		Y	Y	Y	Y	Y	Y	Y		1-May-2013
102	GSK	An Open-Label, Non-Comparative Study to Assess the Pharmacokinetics, Safety and Efficacy of Topical Retapamulin (SB-275833) Ointment, 1%, Twice Daily for Five Days in the Treatment of Uncomplicated Skin and Skin Structure Infections in Pediatric Subjects Aged 2 to 24 Months	retapamulin	TOC106489	Skin Infections, Bacterial	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=TOC106489	http://clinicaltrials.gov/show/NCT00555061	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-003374-10	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014
103	GSK	A Randomized, Double-Blind, Multicenter, Placebo-controlled, Phase III Superiority Study to Assess the Safety and Efficacy of Topical Retapamulin Ointment, 1%, versus Placebo Ointment Applied Twice Daily for 5 Days in the Treatment of Adult and Pediatric Subjects with SITL	retapamulin	TOC110977	Skin Infections, Bacterial	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=110977	http://clinicaltrials.gov/show/NCT00684177		Y	Y	Y	Y	Y	Y	Y		1-Sep-2013
104	GSK	A Randomized, Double-Blind, Double Dummy, Comparative, Multicenter Study to Assess the Safety and Efficacy of Topical Retapamulin Ointment, 1%, versus Oral Linezolid in the Treatment of Secondarily-Infected Traumatic Lesions and Impetigo Due to Methicillin-Resistant Staphylococcus aureus	retapamulin	TOC110978	Skin Infections, Bacterial	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=110978	http://clinicaltrials.gov/show/NCT00852540		Y	Y	Y	Y	Y	Y	Y		1-Sep-2013
105	GSK	An open label, single-dose, fixed sequence, two treatment period study to assess the effect of haemodialysis on the pharmacokinetics of ezogabine/retigabine and the n-acetyl metabolite of ezogabine/retigabine (NAMR).	retigabine, ezogabine	RTG115214	Epilepsy	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=115214	http://clinicaltrials.gov/show/NCT01480609		Y	Y	Y	Y	Y	Y	Y		1-Jul-2015
106	GSK	A multicenter, randomized, 12 week, double-blind, placebo-controlled, parallel-group, Phase IIa study using 18F fluorodeoxyglucose (FDG)-PET to measure the effects of rilapladib on macrophage activity in subjects with atherosclerosis	rilapladib	LP2105521	Atherosclerosis	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=LP2105521	http://clinicaltrials.gov/show/NCT00695305	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-006201-91	Y	Y	Y	Y	Y	Y	Y		1-Nov-2014
107	GSK	A Proof-of-Concept Study Of SB-751689 In Men And Post-menopausal Women With A Fractured Distal Radius	ronacaleret	CR9108914	Fracture Healing	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=CR9108914	http://clinicaltrials.gov/show/NCT00548496	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-001477-29	Y	Y	Y	Y	Y	Y	Y		1-May-2013
108	GSK	Study CR9108963: A 12-month, randomized, double-blind, parallel-group, placebo and active-controlled dose-range finding study of the efficacy and safety of SB-751689 in post-menopausal women with osteoporosis	ronacaleret	CR9108963	Osteoporosis	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=CR9108963	http://clinicaltrials.gov/show/NCT00471237	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-006015-72	Y	Y	Y	Y	Y	Y	Y		1-May-2013
110	GSK	Clinical Evaluation of ropinirole PR/XR Tablet for Adjunctive Therapy to L-dopa in subjects with advanced Parkinson’s disease	ropinirole	ROP106066	Parkinson Disease	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=106066	http://clinicaltrials.gov/show/NCT00823836		Y	Y	Y	Y	N	Y	Y	A protocol is not available for this study because an English language version was not created.	1-Oct-2015
111	GSK	An open label, repeat dose, dose escalation study conducted in Parkinson's Disease patients to characterize the pharmacokinetics and effect of food on ropinirole prolonged release (PR/CR) 12mg tablets.	ropinirole	ROP109087	Parkinson Disease	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=ROP109087	http://clinicaltrials.gov/show/NCT00460148	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-006209-94	Y	Y	Y	Y	Y	Y	Y		1-May-2013
112	GSK	Clinical evaluation of ropinirole IR (immediate release) tablets in patients who are diagnosed with symptomatic restless legs syndrome (RLS) associated with Chronic kidney disease (CKD) managed with haemodialysis (including haemofiltration and haemodiafiltration)	ropinirole	ROR113079	Restless Legs Syndrome	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=113079	http://clinicaltrials.gov/show/NCT00996944		Y	Y	N	Y	N	N	Y	A raw dataset is not available for this study. A clinical study report and a protocol are not available for this study because English language versions were not created.	1-Jul-2015
