Disease Areas	Title	Investigator	Organization	Phase	Trial Status	Targeted Enrollment	NCT Number	Grant Number	Grant Status	Award Value	Technology
Immune Disease, Leukocyte Adhesion Deficiency	A Clinical Trial to Evaluate the Safety and Efficacy of RP-L201 in Subjects With Leukocyte Adhesion Deficiency-I	Dr. Kinnari Patel	Rocket Pharmaceuticals, Inc.	Phase 1/2	Completed	9.0	NCT03812263	CLIN2-11480	Closed	5867085.0	gene therapy
IPEX Syndrome	Phase 1 Study of Autologous CD4LVFOXP3 in Participants with IPEX Syndrome	Dr. Rosa Bacchetta	Stanford University	Phase 1	Recruiting	30.0	NCT05241444	CLIN2-13259	Active	11999179.0	
Kidney Failure	A Phase 3 Study Comparing the Utility of Human Acellular Vessels  to Arteriovenous Fistula in Subjects with End-Stage Renal Disease (California Sites)	Jeffrey Lawson	Humacyte, Inc.	Phase 3	Active, not recruiting	240.0	NCT03183245	CLIN2-09688	Closed	3525000.0	
Kidney Failure	A Human Acellular Vessel in Patients Needing Renal Replacement Therapy: A Comparison with ePTFE Grafts as Conduits for Hemodialysis (HUMANITY)	Jeffrey Lawson	Humacyte, Inc.	Phase 3	Active, not recruiting	355.0	NCT02644941	CLIN2-08938	Closed	7625000.0	
Kidney Failure	Induction of Tolerance to Combined Kidney and Hematopoietic Progenitor Cell Transplants from HLA Haplotype Matched Living Donors	Dr. Robert Lowsky	Stanford University	Phase 1	Active, not recruiting	15.0	NCT00319657	CLIN2-09439	Active	6653266.0	cell therapy
Kidney Failure	Cellular Immunotherapy for Induction of Immune Tolerance in HLA Matched Living Donor Kidney Transplant Recipients	Daniel Brennan	Medeor Therapeutics, Inc.	Phase 3	Active, not recruiting	30.0	NCT03363945	CLIN2-10411	Active	11217155.0	cell therapy
Kidney Failure	Induction of Tolerance by Combinatorial Therapy w/ Donor Stem Cells and Expanded Recipient Treg cells in HLA-mismatched Kidney Transplant Recipients	Dr. Everett H. Meyer	Stanford University	Phase 1	Recruiting	22.0	NCT03943238	CLIN2-11400	Active	11955585.0	cell therapy
Leukemia, Acute Myeloid (AML)	A Phase 2 Open-Label, Multi-Center, Randomized, Controlled, Optimal Dose-Finding Study of DCC-UCB in Adults Receiving High Dose Chemotherapy for AML	Dr. Colleen Delaney	Nohla Therapeutics Inc	Phase 2	Closed	146.0	NCT03301597	CLIN2-09574	Closed	4310000.0	cell therapy
Leukemia, Acute Myeloid (AML)	A Phase 1b Trial of Hu5F9-G4 Monotherapy or Hu5F9-G4 in Combination with Azacitidine in Patients with Acute Myeloid Leukemia	Mark Chao	Forty Seven Inc.	Phase 1	Closed	258.0	NCT03248479	CLIN2-10144	Closed	0.0	biologic drug
Leukemia, Acute Myeloid (AML)	Phase 1 Clinical Development of IO-202, A First-in-Class Antibody Targeting LILRB4, for the Treatment of AML with Monocytic Differentiation and CMML	Joseph Paul Woodard	Immune-Onc Therapeutics	Phase 1	Recruiting	106.0	NCT04372433	CLIN2-12149	Closed	6000000.0	
Leukemia, Acute Myeloid (AML)	Phase I Study of Chimeric Antigen Receptor Engineered T Cells targeting CD33 for the Treatment of Relapsed/Refractory Acute Myeloid Leukemia	Elizabeth Budde	City of Hope, Beckman Research Institute	Phase 1	Launching			CLIN2-15087	Active	11983547.0	
Lung Cancer	A phase I trial of intratumoral administration of CCL21-gene modified dendritic cell (DC) combined with intravenous pembrolizumab for advanced NSCLC	Steven M. Dubinett	University of California, Los Angeles	Phase 1	Recruiting	24.0	NCT03546361	CLIN2-10784	Active	10955315.0	cell therapy
Melanoma	Tumor stem cell-targeted immunotherapy for metastatic melanoma –a randomized phase 3 clinical trial.	Robert Dillman	Caladrius Biosciences	Phase 3	Closed	4.0	NCT01875653	CLIN2-08239	Closed	3000000.0	cell therapy
Melanoma, Skin cancer	Genetic Re-programming of Stem Cells to Fight Cancer	Dr. Antoni Ribas M.D., Ph.D.	University of California, Los Angeles	Phase 1	Closed	5.0	NCT03240861	DR2A-05309	Closed	14144220.76	cell therapy
Melanoma, Skin cancer	Genetic Re-programming of Stem Cells to Fight Cancer	Dr. Antoni Ribas M.D., Ph.D.	University of California, Los Angeles	Phase 1	Closed	5.0	NCT03240861	DR2A-05309	Closed	14144220.76	cell therapy
Multiple Myeloma	Clinical Study of T stem cell memory (Tscm)-based CAR-T cells in Patients with Multiple Myeloma	Rajesh Belani MD	Poseida Therapeutics, Inc.	Phase 1	Closed	105.0	NCT03288493	CLIN2-10395	Closed	19813407.0	cell therapy
Muscle Injury	A Double-Blind Randomized Placebo-Controlled Investigation of Autologous Muscle Derived Progenitor Cells for the Treatment of Dysphagia	Peter C Belafsky	University of California, Davis	Phase 1/2	Recruiting	62.0	NCT05421689	CLIN2-13017	Active	11015936.0	
Osteoarthritis	A Phase 1b, Randomized, Blinded, Placebo-Controlled Dose-Ranging Study of GNSC-001 Evaluating Safety, Pharmacodynamics, and Biomarkers in Knee OA	Dr. Thomas W Chalberg Jr.	Genascence Corporation	Phase 1	Launching			CLIN2-14265	Active	11637194.0	
Osteonecrosis	Treatment of non-traumatic osteonecrosis with endogenous Mesenchymal stem cells	Nancy E. Lane	University of California, Davis	Phase 1/2	Completed	58.0	NCT03197623	DR2A-05302	Closed	18227898.46	small molecule drug
Parkinson's Disease	A Phase 1b Safety Study for MRI guided delivery of AAV2-GDNF for the treatment of Parkinson’s disease	Krystof S. Bankiewicz	Brain Neurotherapy Bio	Phase 1	Active, not recruiting	11.0	NCT04167540	CLIN2-11661	Active	5510462.0	gene therapy
Pediatrics, Sickle Cell Disease	Clinical Trial of Stem Cell Gene Therapy for Sickle Cell Disease	Dr. Donald B. Kohn	University of California, Los Angeles	Phase 1	Recruiting	6.0	NCT02247843	DR3-06945	Active	13145465.0	cell therapy
Pulmonary Hypertension, Vascular Disease	Pulmonary Arterial Hypertension Treated with Cardiosphere-Derived Allogeneic Stem Cells	Dr. Michael I Lewis	Cedars-Sinai Medical Center	Phase 1/2	Completed	26.0	NCT03145298	CLIN2-09444	Closed	7354772.0	cell therapy
Retinitis Pigmentosa	Retinal progenitor cells for treatment of retinitis pigmentosa	Dr. Henry John Klassen	University of California, Irvine	Phase 1/2	Completed	28.0	NCT02320812	DR2A-05739	Closed	17144825.0	cell therapy
Retinitis Pigmentosa	Phase 2b Clinical Study of Safety and Efficacy of Intravitreal Injection of Retinal Progenitor Cells (jCell)  for Treatment of Retinitis Pigmentosa	Henry John Klassen	jCyte, Inc	Phase 2	Completed	84.0	NCT03073733	CLIN2-09698	Active	8295750.0	
Retinitis Pigmentosa	Clinical Study to Assess Safety and Efficacy of Subretinal Injection of Human Neural Progenitor Cells for Treatment of Retinitis Pigmentosa	Clive Svendsen	Cedars-Sinai Medical Center	Phase 1	Recruiting	16.0	NCT04284293	CLIN2-11620	Active	10444063.0	
Retinitis Pigmentosa	A Phase 2 Study of the Safety of Repeat Intravitreal Injection of Human Retinal Progenitor Cells (jCell) in Adult Subjects with Retinitis Pigmentosa	Henry John Klassen	jCyte, Inc	Phase 2	Completed	84.0	NCT03073733	CLIN2-11472	Active	6608592.0	
Sarcoma	Genetically Engineered PBMC and PBSC Expressing NY-ESO-1 TCR After a Myeloablative Conditioning Regimen to Treat Patients With Advanced Cancer (NYESO SCT)	Theodore Scott Nowicki	University of California, Los Angeles	Phase 1	Closed	5.0	NCT03240861	CLIN2-11380	Closed	4230000.0	cell therapy
Sarcoma	Genetically Engineered PBMC and PBSC Expressing NY-ESO-1 TCR After a Myeloablative Conditioning Regimen to Treat Patients With Advanced Cancer (NYESO SCT)	Theodore Scott Nowicki	University of California, Los Angeles	Phase 1	Closed	5.0	NCT03240861	CLIN2-11380	Closed	4230000.0	cell therapy
Severe Combined Immunodeficiency, Artemis deficient (ART-SCID)	Gene Transfer for Artemis-Deficient Severe Combined Immunodeficiency Using a Lentiviral Vector to Transduce Autologous CD34 Hematopoietic Stem Cells	Mort Cowan	University of California, San Francisco	Phase 1	Recruiting	25.0	NCT03538899	CLIN2-10830	Active	12000000.0	gene therapy
Sickle Cell Disease	Treatment of sickle cell disease by induction of  mixed chimerism and immune tolerance using CD4+ T-depleted haploidentical blood stem cell transplant	Dr. De-Fu Zeng	City of Hope, Beckman Research Institute	Phase 1	Active, not recruiting	3.0	NCT03249831	CLIN2-10847	Active	4352180.0	cell therapy
Sickle Cell Disease	A Phase 1 Study of ECT-001 Expanded Cord Blood and Myeloablative Regimen with Reduced Toxicity in Patients with Severe Sickle Cell Disease	Dr Pierre Caudrelier	ExCellThera Inc.	Phase 1	Withdrawn		NCT04594031	CLIN2SCD-11674	Closed	600000.0	
Sickle Cell Disease	Phase 2 Study of Hematopoietic Stem Cell Gene Transfer Inducing Fetal Hemoglobin in Sickle Cell Disease	David Williams	Boston Children’s Hospital	Phase 2	Active, not recruiting	10.0	NCT03282656	CLIN2SCD-12031	Active	8333581.0	
Sickle Cell Disease	Transplantation of CRISPR-CAS9 Corrected Hematopoietic Stem Cells (CRISPR_SCD001) in Patients with Severe Sickle Cell Disease	Mark C. Walters M.D.	University of California, San Francisco	Phase 1	Not yet recruiting	9.0	NCT04774536	CLIN2SCD-11722	Active	8389407.0	
Solid Tumors	A Phase I dose escalation and expansion clinical trial of the novel first-in-class Polo-like Kinase 4 (PLK4) inhibitor, CFI-400945 in patients with advanced solid tumors	Dr. Dennis J Slamon	University of California, Los Angeles	Phase 1	Completed	46.0	NCT01954316	DR3-07067	Closed	5683693.0	small molecule drug
Solid Tumors	PHASE 1, OPEN LABEL, DOSE-ESCALATION STUDY OF CRX100 IN PATIENTS WITH ADVANCED SOLID TUMORS	Dr. Pamela Reilly Contag	BioEclipse Therapeutics INC.	Phase 1	Recruiting	24.0	NCT04282044	CLIN2-12823	Active	7999689.0	
Solid Tumors	Autologous ARTEMIS® T Cells to Treat Refractory/Relapsed Pediatric Liver Cancer	Pei Wang	Eureka Therapeutics, Inc.	Phase 1/2	Launching			CLIN2-14338	Active	10600072.0	
Spinal Cord Injury	Evaluation of Safety and Preliminary Efficacy of Escalating Doses of GRNOPC1 in Subacute Spinal Cord Injury	Dr. Jane Stephanie Lebkowski Dr.	Geron Corporation	Phase 1	Completed	5.0	NCT01217008	CT1-05168	Closed	0.0	
Spinal Cord Injury	A Phase I/IIa Dose Escalation Safety Study of AST-OPC1 in Patients with Cervical Sensorimotor Complete Spinal Cord Injury	Francois Binette	Lineage Cell Therapeutics, Inc.	Phase 1/2	Completed	25.0	NCT02302157	SP3A-07552	Closed	14323318.0	cell therapy
Stroke	A Double-Blind, Controlled Ph 2b Study of the Safety and Efficacy of Modified Stem Cells in Patients with Chronic Motor Deficit from Ischemic Stroke	Dr. Bijan Nejadnik	SanBio, Inc.	Phase 2	Completed	163.0	NCT02448641	CLIN2-10344	Closed	18970000.0	cell therapy
Stroke	Safety and Tolerability Study of  Neural Stem Cells (NR1) in Subjects with Chronic Ischemic Subcortical Stroke	Dr. Gary Steinberg	Stanford University	Phase 1	Recruiting	30.0	NCT04631406	CLIN2-12379	Active	11998988.0	
