MSH	may_be_treated_by
D009325	dimenhydrinate|trimethobenzamide hydrochloride|prochlorperazine mesylate|prochlorperazine|pirenzepine|fosnetupitant|dexamethasone isonicotinate|prochlorperazine maleate|cyclizine|benzquinamide hydrochloride|dexamethasone|cyclizine hydrochloride|aprepitant|buclizine|diphenidol|dexamethasone sodium phosphate|dexamethasone phosphate|rolapitant hydrochloride|buclizine hydrochloride|trimethobenzamide|dexamethasone acetate|scopolamine hydrobromide|pirenzepine hydrochloride|netupitant|prochlorperazine edisylate|benzquinamide|fosnetupitant chloride hydrochloride|cyclizine tartrate|fosaprepitant|fosaprepitant dimeglumine|rolapitant|cyclizine lactate|scopolamine|droperidol|diphenidol hydrochloride|dexamethasone acetate anhydrous|dexamethasone trimethyl acetate
D014839	dimenhydrinate|trimethobenzamide hydrochloride|prochlorperazine mesylate|Antiemetic|prochlorperazine|pirenzepine|fosnetupitant|dexamethasone isonicotinate|meclizine|prochlorperazine maleate|cyclizine|benzquinamide hydrochloride|dexamethasone|cyclizine hydrochloride|aprepitant|buclizine|diphenidol|dexamethasone sodium phosphate|meclizine hydrochloride|dexamethasone phosphate|rolapitant hydrochloride|buclizine hydrochloride|trimethobenzamide|dexamethasone acetate|scopolamine hydrobromide|pirenzepine hydrochloride|netupitant|prochlorperazine edisylate|benzquinamide|fosnetupitant chloride hydrochloride|cyclizine tartrate|fosaprepitant dimeglumine|fosaprepitant|rolapitant|cyclizine lactate|scopolamine|droperidol|diphenidol hydrochloride|dexamethasone acetate anhydrous|dexamethasone trimethyl acetate
D009345	
D008268	
D009437	prednisone
D018358	
D053201	
D025241	
D002289	
D009765	dexfenfluramine|dexfenfluramine hydrochloride
D009771	
D000773	
D009798	omidenepag|omidenepag isopropyl|apraclonidine|apraclonidine hydrochloride
D004487	
D004941	
D004802	
D005902	omidenepag|omidenepag isopropyl
D010003	
D001851	
D010024	norethindrone|calcium acetate|calcium gluceptate|calcium phosphate, dihydrate|calcium carbonate|calcium gluconate monohydrate|calcium levulinate|calcium pantothenate|calcium gluconate|medronate disodium|norethindrone enanthate|calcium lactate|norethindrone acetate|calcium phosphate|calcium citrate|calcium dihydrogen phosphate|calcium phosphate, monobasic, anhydrous|calcium glubionate|ergocalciferol|calcium citrate anhydrous
D010033	
D010051	mestranol
D007249	
D010195	
D016584	
D010300	
D012640	thiamylal|phenacemide|medazepam|magnesium sulfate monohydrate|fosphenytoin sodium|magnesium sulfate anhydrous|magnesium sulfate|fosphenytoin|thiamylal sodium|magnesium sulfate dihydrate
D011014	
D017714	
D011051	intramuscular immunoglobulin|poliovirus vaccine inactivated, type 2 (MEF-1)|poliovirus vaccine inactivated, type 1 (Mahoney)|poliovirus vaccine inactivated, type 3 (Saukett)
D013313	
D051474	
D006473	ergotamine tartrate|ergonovine maleate|dihydroergocornine|dihydroergocryptine mesylate|dihydroergocristine monomesylate|methylergonovine|dihydroergotamine tartrate|ergot preparation|dihydroergotamine mesylate|dihydroergocryptine|methylergonovine maleate|dihydroergocristine|dihydroergotamine|dihydroergocornine mesylate|ergonovine|dihydroergotoxine
D061686	
D011471	
D000081029	
D002292	
D012120	
D018357	respiratory syncytial virus pre-fusion F protein, B, recombinant, stabilized|respiratory syncytial virus pre-fusion F protein, A, recombinant, stabilized|palivizumab|respiratory syncytial virus pre-fusion F protein, recombinant|nirsevimab|Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody|nirsevimab-alip|respiratory syncytial virus pre-fusion F protein
D012148	
D012164	
D012178	
D003930	
D001172	prednisolone phosphate|prednisolone tebutate|methylprednisolone|methylprednisolone aceponate|prednisone|methylprednisolone sodium succinate|cortisone acetate|triamcinolone acetonide|methylprednisolone sodium phosphate|triamcinolone|methylprednisolone acetate|prednisolone sodium metasulphobenzoate|cortisone|triamcinolone diacetate|triamcinolone hexacetonide|prednisolone|prednisolone sodium phosphate|prednisolone acetate|prednisolone sodium succinate
D012509	
D012559	
D012594	
D013923	ardeparin sodium|anisindione|heparin, porcine|heparin, bovine|dextran 40|argatroban|heparin sodium, porcine|danaparoid|edoxaban tosylate|ardeparin|heparin calcium|heparin sodium, bovine|dalteparin|tirofiban|argatroban anhydrous|warfarin|enoxaparin sodium|dicumarol|ticlopidine hydrochloride|edoxaban|dalteparin sodium|fondaparinux|warfarin potassium|enoxaparin|heparin|ticlopidine|bemiparin sodium|danaparoid sodium|bivalirudin|fondaparinux sodium|lepirudin|warfarin sodium|phenprocoumon|bivalirudin trifluoroacetate|apixaban|bemiparin|tirofiban hydrochloride|heparin sodium|nadroparin
D000568	
D018805	mafenide acetate|mafenide|nitrofurazone
D012764	
D000755	
D012852	
D000270	
D012893	
D009134	
D010698	
D009128	
D013166	
D000844	
D013292	
D013296	Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine|Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine
D001171	
D008180	
D013708	
D013742	tetanus toxoid vaccine, inactivated|tetanus immune globulin, human|tetanus immune globulin
D013927	sulfinpyrazone
D014012	
D014077	
D014123	dapsone
D014376	isoniazid|rifampin|BCG, live, Tice strain|BCG, live, Montreal strain|pyrazinamide
D014435	typhoid Vi polysaccharide vaccine, S typhi Ty2 strain|Salmonella typhi Ty21a live antigen
D014549	
D014570	
D014581	pheniramine aminosalicylate|pheniramine maleate|pheniramine
D002644	varicella zoster immune globulin (human)|varicella-zoster immune globulin|herpesvirus 3, human|acyclovir sodium|acyclovir|intramuscular immunoglobulin
D014652	
D014657	
D014777	idoxuridine|ribavirin|Nucleoside Analog Antiviral|trifluridine
