UMLS	name	HPO	MSH
UMLS/C0026769	Multiple Sclerosis		MSH/D009103
UMLS/C0011882	Diabetic Neuropathies		MSH/D003929
UMLS/C0003873	Rheumatoid Arthritis	HPO/HP:0001370	MSH/D001172
UMLS/C4693174	Hyperreactivity		
UMLS/C0019682	HIV		MSH/D006678
UMLS/C0334108	Multiple polyps		
UMLS/C0019159	Hepatitis A		MSH/D006506
UMLS/C0029882	Otitis Media	HPO/HP:0000388	MSH/D010033
UMLS/C0032285	Pneumonia	HPO/HP:0002090	MSH/D011014
UMLS/C0206171	Community-Acquired Infections		MSH/D017714
UMLS/C0038410	Streptococcus pneumoniae		MSH/D013296
UMLS/C0006277	Bronchitis	HPO/HP:0012387	MSH/D001991
UMLS/C0037199	Sinusitis	HPO/HP:0000246	MSH/D012852
UMLS/C0040038	Thromboembolism	HPO/HP:0001907	MSH/D013923
UMLS/C0014549	Tonic-Clonic Epilepsy		MSH/D004830
UMLS/C0036341	Schizophrenia	HPO/HP:0100753	MSH/D012559
UMLS/C0031117	Peripheral Neuropathy	HPO/HP:0009830	
UMLS/C0002453	Amenorrhea	HPO/HP:0000141	MSH/D000568
UMLS/C0016053	Fibromyalgia		MSH/D005356
UMLS/C0019342	Genital Herpes		MSH/D006558
UMLS/C0019348	Herpes Simplex Infections		MSH/D006561
UMLS/C0019345	Herpes Labialis		MSH/D006560
UMLS/C0003469	Anxiety Disorders		MSH/D001008
UMLS/C0157741	Idiopathic urticaria		
UMLS/C0578870	Chronic Spontaneous Urticaria	HPO/HP:0410133	MSH/D000080223
UMLS/C0279472	Cytarabine/Prednisone/Thioguanine/Vincristine		
UMLS/C0040264	Tinnitus	HPO/HP:0000360	MSH/D014012
UMLS/C0349231	Phobic anxiety disorder		MSH/D010698
UMLS/C0028768	Obsessive-Compulsive Disorder	HPO/HP:0000722	MSH/D009771
UMLS/C0030319	Panic Disorder		MSH/D016584
UMLS/C0038436	Post-Traumatic Stress Disorder	HPO/HP:0033676	MSH/D013313
UMLS/C1457887	Symptoms		
UMLS/C1704272	Benign Prostatic Hyperplasia	HPO/HP:0008711	MSH/D011470
UMLS/C0033046	Premenstrual syndrome		MSH/D011293
UMLS/C0029347	influenza A virus		MSH/D009980
UMLS/C1262313	Invasive Fungal Infections	HPO/HP:0020101	MSH/D000072742
UMLS/C0007097	Carcinoma	HPO/HP:0030731	MSH/D002277
UMLS/C0036690	Septicemia	HPO/HP:0100806	MSH/D018805
UMLS/C0333641	Atrophic		MSH/D001284
UMLS/C0009404	Colorectal Neoplasms	HPO/HP:0100834	MSH/D015179
UMLS/C0020564	Hypertrophy		MSH/D006984
UMLS/C0730345	Microalbuminuria	HPO/HP:0012594	
UMLS/C0011884	Diabetic Retinopathy		MSH/D003930
UMLS/C0020619	Hypogonadism	HPO/HP:0000135	MSH/D007006
UMLS/C0017185	Gastrointestinal Neoplasms	HPO/HP:0007378	MSH/D005770
UMLS/C0036508	Seborrheic dermatitis	HPO/HP:0001051	MSH/D012628
UMLS/C0021099	Impetigo		MSH/D007169
UMLS/C0236018	Aura		MSH/D004827
UMLS/C0024299	Lymphoma	HPO/HP:0002665	MSH/D008223
UMLS/C0024305	Lymphoma, Non-Hodgkin	HPO/HP:0012539	MSH/D008228
UMLS/C0023418	leukemia	HPO/HP:0001909	MSH/D007938
UMLS/C0042024	Urinary Incontinence	HPO/HP:0000020	MSH/D014549
UMLS/C3263723	Traumatic injury		MSH/D014947
UMLS/C0021390	Inflammatory Bowel Diseases	HPO/HP:0002037	MSH/D015212
UMLS/C0242339	Dyslipidemias	HPO/HP:0003119	MSH/D050171
UMLS/C0152020	Gastroparesis	HPO/HP:0002578	MSH/D018589
UMLS/C0030193	Pain	HPO/HP:0012531	MSH/D010146
UMLS/C0021368	Inflammation		MSH/D007249
UMLS/C0028754	Obesity	HPO/HP:0001513	MSH/D009765
UMLS/C0010200	Coughing	HPO/HP:0012735	MSH/D003371
UMLS/C0019196	Hepatitis C		MSH/D006526
UMLS/C0007787	Transient Ischemic Attack	HPO/HP:0002326	MSH/D002546
UMLS/C0038454	Cerebrovascular accident	HPO/HP:0001297	MSH/D020521
UMLS/C0006625	Cachexia	HPO/HP:0004326	MSH/D002100
UMLS/C0033038	Premature Ejaculation	HPO/HP:0012876	MSH/D061686
UMLS/C0524620	Metabolic Syndrome X		MSH/D024821
UMLS/C0029408	Degenerative polyarthritis	HPO/HP:0002758	MSH/D010003
UMLS/C0004238	Atrial Fibrillation	HPO/HP:0005110	MSH/D001281
UMLS/C0007222	Cardiovascular Diseases	HPO/HP:0001626	MSH/D002318
UMLS/C0003811	Cardiac Arrhythmia	HPO/HP:0011675	MSH/D001145
UMLS/C0006826	Malignant Neoplasms	HPO/HP:0002664	MSH/D009369
UMLS/C0010346	Crohn Disease	HPO/HP:0100280	MSH/D003424
UMLS/C0009241	Cognition Disorders		MSH/D003072
UMLS/C0007131	Non-Small Cell Lung Carcinoma	HPO/HP:0030358	MSH/D002289
UMLS/C0002170	Alopecia	HPO/HP:0001596|HPO/HP:0002293	MSH/D000505
UMLS/C0009319	Colitis	HPO/HP:0002583	MSH/D003092
UMLS/C0041582	Ulcer		MSH/D014456
UMLS/C0919267	ovarian neoplasm	HPO/HP:0100615	MSH/D010051
UMLS/C0238111	Lennox-Gastaut syndrome		MSH/D065768
UMLS/C0011849	Diabetes Mellitus	HPO/HP:0000819	MSH/D003920
UMLS/C0014868	Esophagitis	HPO/HP:0100633	MSH/D004941
UMLS/C0002917	Anesthesia, Inhalation		MSH/D000769
UMLS/C0752341	Aspergillosis, Nervous System Invasive		MSH/D020953
UMLS/C0026718	Mucormycosis		MSH/D009091
UMLS/C0017612	Glaucoma, Open-Angle	HPO/HP:0012108	MSH/D005902
UMLS/C0028840	Ocular Hypertension		MSH/D009798
UMLS/C0024117	Chronic Obstructive Airway Disease	HPO/HP:0006510	MSH/D029424
UMLS/C0023473	Myeloid Leukemia, Chronic	HPO/HP:0005506	
UMLS/C0026764	Multiple Myeloma	HPO/HP:0006775	MSH/D009101
UMLS/C3463824	MYELODYSPLASTIC SYNDROME	HPO/HP:0002863	MSH/D009190
UMLS/C0262496	Molecular Abnormality		
UMLS/C0025202	melanoma	HPO/HP:0002861	MSH/D008545
UMLS/C1261473	Sarcoma	HPO/HP:0100242	MSH/D012509
UMLS/C0497327	Dementia	HPO/HP:0000726	MSH/D003704
UMLS/C0003872	Arthritis, Psoriatic		MSH/D015535
UMLS/C0035204	Respiration Disorders		MSH/D012120
UMLS/C0041466	Typhoid Fever		MSH/D014435
UMLS/C0002871	Anemia	HPO/HP:0001903	MSH/D000740
UMLS/C0042373	Vascular Diseases		MSH/D014652
UMLS/C1266002	Non-Small Cell Carcinoma		
UMLS/C0020179	Huntington Disease		MSH/D006816
UMLS/C0002922	Anesthesia, Obstetrical		MSH/D000773
UMLS/C0010674	Cystic Fibrosis		MSH/D003550
UMLS/C0020458	Hyperhidrosis disorder	HPO/HP:0000975	MSH/D006945
UMLS/C0009766	Allergic Conjunctivitis	HPO/HP:0007879	MSH/D003233
UMLS/C0019360	Herpes zoster disease		MSH/D006562
UMLS/C0521707	Bilateral cataracts (disorder)		
UMLS/C0494475	Tonic - clonic seizures	HPO/HP:0002069|HPO/HP:0032677	MSH/D012640
UMLS/C1540912	Hypereosinophilic syndrome		MSH/D017681
UMLS/C0016397	Focal Infection		MSH/D005490
UMLS/C0008370	Cholestasis	HPO/HP:0001396	MSH/D002779
UMLS/C0008372	Intrahepatic Cholestasis	HPO/HP:0001406	MSH/D002780
UMLS/C0029453	Osteopenia	HPO/HP:0000938	MSH/D001851
UMLS/C1263846	Attention deficit hyperactivity disorder	HPO/HP:0007018	MSH/D001289
UMLS/C0017178	Gastrointestinal Diseases	HPO/HP:0011024	MSH/D005767
UMLS/C0035309	Retinal Diseases	HPO/HP:0000479|HPO/HP:0000488	MSH/D012164
UMLS/C0032797	Postpartum Hemorrhage	HPO/HP:0011891	MSH/D006473
UMLS/C2607914	Allergic rhinitis (disorder)	HPO/HP:0003193	MSH/D065631
UMLS/C0038013	Ankylosing spondylitis		MSH/D013167
UMLS/C1956346	Coronary Artery Disease	HPO/HP:0001677	MSH/D003324
UMLS/C4721698	Metastatic Renal Cell Carcinoma		
UMLS/C0002726	Amyloidosis	HPO/HP:0011034	MSH/D000686
UMLS/C0025303	Meningococcal Infections		MSH/D008589
UMLS/C0035235	Respiratory Syncytial Virus Infections		MSH/D018357
UMLS/C0041296	Tuberculosis		MSH/D014376
UMLS/C0006267	Bronchiectasis	HPO/HP:0002110	MSH/D001987
UMLS/C0042075	Urologic Diseases		MSH/D014570
UMLS/C0006142	Malignant neoplasm of breast		MSH/D001943
UMLS/C0268849	Overactive Detrusor		MSH/D053201
UMLS/C0036960	Shigella sonnei		MSH/D012764
UMLS/C1800706	Idiopathic Pulmonary Fibrosis		MSH/D054990
UMLS/C1609535	Invasive Candidiasis		MSH/D058365
UMLS/C0007134	Renal Cell Carcinoma	HPO/HP:0005584	MSH/D002292
UMLS/C0398650	Immune thrombocytopenic purpura	HPO/HP:0001973	MSH/D016553
UMLS/C0018081	Gonorrhea		MSH/D006069
UMLS/C0001175	Acquired Immunodeficiency Syndrome		MSH/D000163
UMLS/C0011644	Scleroderma	HPO/HP:0100324	MSH/D012594
UMLS/C0013604	Edema	HPO/HP:0000969	MSH/D004487
UMLS/C0027627	Neoplasm Metastasis		MSH/D009362
UMLS/C0035236	Respiratory syncytial virus		MSH/D012136
UMLS/C0343386	Clostridium difficile infection		MSH/D003015
UMLS/C2239176	Liver carcinoma	HPO/HP:0001402	MSH/D006528
UMLS/C0751495	Seizures, Focal	HPO/HP:0007359	MSH/D012640
UMLS/C0022104	Irritable Bowel Syndrome		MSH/D043183
UMLS/C0019369	Herpesviridae		MSH/D006564
UMLS/C0042384	Vasculitis	HPO/HP:0002633	MSH/D014657
UMLS/C0004364	Autoimmune Diseases	HPO/HP:0002960	MSH/D001327
UMLS/C0043250	Injury wounds		MSH/D014947
UMLS/C0013369	Dysentery		MSH/D004403
UMLS/C0042769	Virus Diseases		MSH/D014777
UMLS/C2973725	Pulmonary arterial hypertension	HPO/HP:0002092	MSH/D000081029
UMLS/C0041755	Adverse reaction to drug	HPO/HP:0020172	MSH/D064420
UMLS/C0559546	Adverse reactions		
UMLS/C0015967	Fever	HPO/HP:0001945	MSH/D005334
UMLS/C0023448	Lymphoid leukemia	HPO/HP:0005526	MSH/D007945
UMLS/C0579233	Streptococcus agalactiae		MSH/D013292
UMLS/C0023434	Chronic Lymphocytic Leukemia	HPO/HP:0005550	MSH/D015451
UMLS/C0334634	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse		MSH/D020522
UMLS/C0013595	Eczema	HPO/HP:0000964|HPO/HP:0000976	MSH/D004485
UMLS/C0024899	Mastocytosis	HPO/HP:0100495	MSH/D008415
UMLS/C0023467	Leukemia, Myelocytic, Acute	HPO/HP:0004808	MSH/D015470
UMLS/C0206686	Adrenocortical carcinoma	HPO/HP:0006744	MSH/D018268
UMLS/C0014175	Endometriosis	HPO/HP:0030127	MSH/D004715
UMLS/C0730285	Macular edema due to diabetes mellitus		
UMLS/C3495559	Juvenile arthritis	HPO/HP:0005681	MSH/D001171
UMLS/C1384600	Systemic onset juvenile chronic arthritis		
UMLS/C0015652	Fascioliasis		MSH/D005211
UMLS/C0040558	Toxoplasmosis		MSH/D014123
UMLS/C0011881	Diabetic Nephropathy		MSH/D003928
UMLS/C0009806	Constipation	HPO/HP:0002019	MSH/D003248
UMLS/C1140680	Malignant neoplasm of ovary	HPO/HP:0100615	MSH/D010051
UMLS/C0026838	Muscle Spasticity	HPO/HP:0001257	MSH/D009128
UMLS/C1959609	Erosion lesion		
UMLS/C3805232	Post-polycythemia vera myelofibrosis		
UMLS/C0001815	Primary Myelofibrosis		MSH/D055728
UMLS/C0751074	Diabetic Neuralgia		MSH/D003929
UMLS/C0001519	Adie Syndrome		MSH/D000270
UMLS/C0035222	Respiratory Distress Syndrome, Adult	HPO/HP:0033677	MSH/D012128
UMLS/C0206708	Cervical Intraepithelial Neoplasia	HPO/HP:0032242	MSH/D018290
UMLS/C0026946	Mycoses		MSH/D009181
UMLS/C0026896	Myasthenia Gravis		MSH/D009157
UMLS/C0011432	Dentin Sensitivity		MSH/D003807
UMLS/C0026847	Spinal Muscular Atrophy	HPO/HP:0007269	MSH/D009134
UMLS/C3539878	Triple Negative Breast Neoplasms		MSH/D064726
UMLS/C0409974	Lupus Erythematosus		
UMLS/C0023449	Acute lymphocytic leukemia	HPO/HP:0006721	
UMLS/C0278883	Metastatic melanoma		
UMLS/C0206754	Neuroendocrine Tumors	HPO/HP:0100634	MSH/D018358
UMLS/C0024437	Macular degeneration	HPO/HP:0000608	MSH/D008268
UMLS/C0002895	Anemia, Sickle Cell		MSH/D000755
UMLS/C1337011	Well Differentiated Pancreatic Endocrine Tumor		
UMLS/C0007095	Carcinoid Tumor	HPO/HP:0100570	MSH/D002276
UMLS/C0042109	Urticaria	HPO/HP:0001025	MSH/D014581
UMLS/C0011397	Denture Retention		MSH/D003781
UMLS/C0030305	Pancreatitis	HPO/HP:0001733	MSH/D010195
UMLS/C0021386	Necrotizing granulomatous inflammation		
UMLS/C0280100	Solid Neoplasm		
UMLS/C0948807	Hepatic impairment		
UMLS/C0025289	Meningitis	HPO/HP:0001287	MSH/D008581
UMLS/C0019693	HIV Infections		MSH/D015658
UMLS/C0949690	Spondylarthritis		MSH/D025241
UMLS/C0020443	Hypercholesterolemia	HPO/HP:0003124	MSH/D006937
UMLS/C0236780	Mixed bipolar I disorder		
UMLS/C0035344	Retinopathy of Prematurity	HPO/HP:0500049	MSH/D012178
UMLS/C0038012	Spondylitis	HPO/HP:0033631	MSH/D013166
UMLS/C0003090	Ankylosis	HPO/HP:0031013	MSH/D000844
UMLS/C3495919	Enthesitis-Related Arthritis		
UMLS/C0027697	Nephritis	HPO/HP:0000123	MSH/D009393
UMLS/C0018133	Graft-vs-Host Disease		MSH/D006086
UMLS/C1292769	Precursor B-cell lymphoblastic leukemia		
UMLS/C0855096	Recurrent B-Cell Small Lymphocytic Lymphoma		
UMLS/C0152018	Esophageal carcinoma	HPO/HP:0011459	
